Uitrekking (mm);Kracht (N)
0.0694877;13180.2
0.0694502;13241.4
0.0704252;13303.4
0.0698627;13364.5
0.0703502;13426.1
0.0706502;13487.7
0.0705377;13549.7
0.0715502;13611.1
0.0712877;13673.6
0.0723002;13735.6
0.0725252;13797.6
0.0728627;13859.1
0.0732377;13921.2
0.0732002;13982.3
0.0736127;14044.4
0.0738752;14105.9
0.0741002;14168
0.0744002;14229.7
0.0750377;14292.1
0.0750002;14354
0.0762377;14416.2
0.0756752;14478.3
0.0763502;14540.4
0.0762752;14601.7
0.0766877;14663.4
0.0768752;14725.2
0.0768002;14787.2
0.0774377;14849.1
0.0779252;14911.9
0.0782627;14974
0.0791627;15035.9
0.0787877;15097.1
0.0794627;15158.8
0.0793502;15220.4
0.0798752;15282.5
0.0799127;15344.6
0.0801377;15407.3
0.0805877;15470
0.0811127;15532.9
0.0812627;15595.3
0.0817877;15657.7
0.0817502;15719.7
0.0821627;15781.2
0.0822377;15842.6
0.0824252;15904.1
0.0828002;15966.3
0.0831002;16028.4
0.0835127;16091.4
0.0842627;16154.1
0.0840377;16216.8
0.0851252;16278.7
0.0846002;16341.3
0.0856502;16403.6
0.0853877;16466.2
0.0856127;16528.5
0.0862502;16591.6
0.0861377;16654.4
0.0869252;16717.6
0.0868502;16780.2
0.0873002;16843.2
0.0879002;16905.5
0.0878627;16968.2
0.0883877;17030.1
0.0882002;17092.7
0.0889502;17154.4
0.0889877;17217
0.0897002;17279
0.0892127;17342.1
0.0903752;17404.2
0.0901127;17467.7
0.0916877;17529.7
0.0909002;17592.4
0.0916127;17653.9
0.0916877;17716.6
0.0922502;17777.9
0.0927752;17841.2
0.0923252;17903.6
0.0928877;17966.7
0.0932252;18028.8
0.0935252;18092
0.0942377;18153.9
0.0940502;18216.5
0.0950252;18278.3
0.0949877;18341
0.0955877;18403.2
0.0956627;18466.4
0.0958127;18529
0.0960752;18592.2
0.0967502;18653.8
0.0968627;18716.4
0.0973877;18778.1
0.0973502;18841.3
0.0979127;18903.8
0.0986627;18967.9
0.0984377;19030.5
0.0990377;19094.4
0.0987002;19157.4
0.0994127;19220.9
0.0993752;19283.3
0.0998252;19347
0.100538;19409.1
0.100575;19472
0.101288;19534.7
0.101063;19598
0.101475;19660.4
0.102075;19724
0.102075;19785.9
0.102638;19848
0.1029;19909.3
0.103425;19971.1
0.103913;20032.4
0.104025;20094.6
0.104288;20155.9
0.104475;20218.2
0.105038;20280.1
0.105263;20342.3
0.105188;20403.3
0.105975;20464.6
0.106275;20525.2
0.107025;20586.3
0.107063;20646.6
0.107063;20708.1
0.107663;20769.6
0.107625;20831.7
0.108375;20893.6
0.107888;20955.6
0.108638;21016.3
0.1092;21076.8
0.1098;21136.9
0.11025;21197.2
0.109913;21257.3
0.110625;21318.1
0.110513;21379.1
0.111113;21440.3
0.110775;21501.4
0.111488;21562.5
0.111825;21623.6
0.112613;21684.1
0.112388;21744.2
0.113213;21803.8
