Tijd (s);Hoogte (m)
179.2;367.9187518
179.4;366.3455907
179.6;364.7722205
179.8;363.1994291
180;361.6279941
180.2;360.0586451
180.4;358.4920291
180.6;356.9286776
180.8;355.3689805
181;353.8131652
181.2;352.2612837
181.4;350.7132087
181.6;349.1686369
181.8;347.6271025
182;346.0879974
182.2;344.5505993
182.4;343.0141055
182.6;341.4776703
182.8;339.9404457
183;338.4016219
183.2;336.8604664
183.4;335.3163597
183.6;333.7688262
183.8;332.2175576
184;330.6624293
184.2;329.1035075
184.4;327.5410477
184.6;325.9754841
184.8;324.4074107
185;322.8375549
185.2;321.2667446
185.4;319.6958712
185.6;318.1258492
185.8;316.5575757
186;314.9918903
186.2;313.4295384
186.4;311.8711389
186.6;310.3171586
186.8;308.7678936
187;307.223459
187.2;305.6837874
187.4;304.1486354
187.6;302.617599
187.8;301.090135
188;299.5655896
188.2;298.0432306
188.4;296.522283
188.6;295.0019648
188.8;293.4815231
189;291.9602668
189.2;290.4375951
189.4;288.9130206
189.6;287.3861868
189.8;285.8568765
190;284.3250143
190.2;282.7906612
190.4;281.2540022
190.6;279.7153276
190.8;278.1750101
191;276.6334779
191.2;275.0911863
191.4;273.5485881
191.6;272.0061063
191.8;270.4641093
192;268.9228899
192.2;267.38265
192.4;265.8434909
192.6;264.3054102
192.8;262.7683052
193;261.2319827
193.2;259.6961731
193.4;258.160551
193.6;256.6247572
193.8;255.0884236
194;253.5511988
194.2;252.0127716
194.4;250.4728924
194.6;248.9313916
194.8;247.3881916
195;245.8433142
195.2;244.2968811
195.4;242.7491091
195.6;241.200298
195.8;239.6508143
196;238.1010694
196.2;236.5514955
196.4;235.0025185
196.6;233.4545314
196.8;231.9078686
197;230.3627827
197.2;228.8194256
197.4;227.2778348
197.6;225.7379259
197.8;224.199492
198;222.6622095
198.2;221.1256516
198.4;219.5893073
198.6;218.0526059
198.8;216.5149461
199;214.9757274
199.2;213.4343823
199.4;211.8904086
199.6;210.3433988
199.8;208.7930656
200;207.239262
200.2;205.6819947
200.4;204.1214304
200.6;202.5578936
200.8;200.9918565
201;199.4239219
201.2;197.8547977
201.4;196.285267
201.6;194.7161528
201.8;193.1482803
202;191.5824384
202.2;190.0193415
202.4;188.4595951
202.6;186.9036649
202.8;185.3518532
203;183.8042818
203.2;182.2608837
203.4;180.7214035
203.6;179.1854063
203.8;177.6522961
204;176.1213408
204.2;174.5917042
204.4;173.0624837
204.6;171.5327496
204.8;170.001588
205;168.468141
205.2;166.9316456
205.4;165.3914676
205.6;163.84713
205.8;162.2983331
206;160.7449673
206.2;159.1871163
206.4;157.6250517
