Kracht (N);Uitrekking (mm)
36707.6;9.957
36710.467;9.959
36710.933;9.96
36713.067;9.961
36714.4;9.962
36717.4;9.964
36718.467;9.965
36719.933;9.966
36722.867;9.967
36724.467;9.969
36726.933;9.97
36728.933;9.971
36729.733;9.972
36731.8;9.974
36733.933;9.975
36736.267;9.976
36737.467;9.977
36738.533;9.979
36740.067;9.98
36742.667;9.981
36744;9.982
36745.733;9.984
36748;9.985
36750.067;9.986
36751.667;9.987
36754;9.989
36756.333;9.99
36757.2;9.991
36758.933;9.992
36760.4;9.994
36761.667;9.995
36762.333;9.996
36764.8;9.997
36766.867;9.999
36767.467;10
36768.4;10.001
36769.533;10.002
36772.6;10.004
36773.333;10.005
36774.467;10.006
36776;10.007
36777.333;10.009
36778.467;10.01
36777.867;10.011
36779.467;10.012
36780.733;10.014
36781.333;10.015
36782.667;10.016
36783.4;10.018
36785.533;10.019
36786.133;10.02
36786.4;10.021
36786.733;10.022
36788.333;10.024
36789.8;10.025
36791.667;10.026
36793.8;10.027
36796.133;10.029
36797.933;10.03
36799;10.031
36798.867;10.032
36801.067;10.034
36803.933;10.035
36805.8;10.036
36806.867;10.037
36808.667;10.039
36809.533;10.04
36811.533;10.041
36813.4;10.042
36815.8;10.044
36818.533;10.045
36820.467;10.046
36822.067;10.047
36824.467;10.049
36826.133;10.05
36827.933;10.051
36830.267;10.052
36832.467;10.054
36833.867;10.055
36835;10.056
36837.733;10.057
36839.867;10.059
36841.6;10.06
36841.933;10.061
36843.2;10.063
36844.667;10.064
36846.267;10.065
36848;10.066
36849.067;10.068
36850.8;10.069
36851.867;10.07
36852.867;10.071
36854.4;10.072
36855.467;10.074
36856.733;10.075
36858.267;10.076
36859.467;10.078
36861.4;10.079
36862.667;10.08
36864.8;10.081
36865.133;10.082
36867.6;10.084
36868.933;10.085
36871.467;10.086
36872.867;10.088
36872.933;10.089
36875.2;10.09
36877.933;10.091
36878.733;10.092
36879.8;10.094
36881.933;10.095
36883.667;10.096
36884.133;10.097
36885.133;10.099
36886.867;10.1
36888.4;10.101
36890.067;10.102
36891.267;10.104
36893.2;10.105
36894.267;10.106
36895.867;10.107
36896.667;10.109
36899.067;10.11
36900;10.111
36900.2;10.112
36900.933;10.114
36901.667;10.115
36903.4;10.116
36904.8;10.117
36906.867;10.119
36907.6;10.12
36908.067;10.121
36910.4;10.123
36912.933;10.124
36913.933;10.125
36915.333;10.126
36918;10.127
36919.2;10.129
36920.467;10.13
36922.4;10.131
36924.867;10.133
36925.667;10.134
36926.6;10.135
36928.2;10.136
36930.4;10.137
36930.733;10.139
36932.467;10.14
36934.8;10.141
36936.133;10.142
36937.867;10.144
36940.2;10.145
36942.8;10.146
36945;10.148
36945.733;10.149
36948.133;10.15
36950.733;10.151
36951.6;10.153
36951.867;10.154
36953.067;10.155
36954.8;10.156
36955.333;10.158
36956.267;10.159
36957.8;10.16
36958.067;10.161
36959;10.162
36961.267;10.164
36963.933;10.165
36965.067;10.166
36966.533;10.167
36967.8;10.169
36969.867;10.17
36971.2;10.171
36972.067;10.172
36974.267;10.174
36975.067;10.175
36976.067;10.176
36978.267;10.178
36978.533;10.179
36979.067;10.18
36979.133;10.181
36980.667;10.182
36983.667;10.184
36984.933;10.185
36986;10.186
36988.333;10.188
36991.533;10.189
36993.2;10.19
36995.2;10.191
36997;10.193
36998.333;10.194
37000.8;10.195
37002.733;10.196
37004;10.198
37005.8;10.199
37007.333;10.2
37008.2;10.201
37009.733;10.203
37011.267;10.204
37012.867;10.205
37015.267;10.206
37016.133;10.207
37017.733;10.209
37019.733;10.21
37020.867;10.211
37023.333;10.213
37025.6;10.214
37028.733;10.215
37029.533;10.216
37030.4;10.217
37031.133;10.219
37033.067;10.22
37034.867;10.221
37035.067;10.222
37036.6;10.224
37037.933;10.225
37038.267;10.226
37039.6;10.227
37039.8;10.229
37041.6;10.23
37043.267;10.231
37043.2;10.232
37042.667;10.234
37043.4;10.235
37045.467;10.236
37047.6;10.238
37048.2;10.239
37049;10.24
37049.667;10.241
37051.4;10.242
37052;10.244
37052.867;10.245
37054.533;10.246
37056.4;10.247
37057.467;10.249
37059.067;10.25
37061.6;10.251
37064.467;10.252
37066.067;10.254
37067.267;10.255
37068.533;10.256
37070.6;10.258
37072.6;10.259
37074.933;10.26
37078.133;10.261
37079.933;10.262
37082.867;10.264
37085.4;10.265
37086.667;10.266
37087.933;10.268
37090.933;10.269
37094.2;10.27
37096.2;10.271
37096.6;10.273
37099;10.274
37101.267;10.275
37103.4;10.276
37104.8;10.278
37106.533;10.279
37108.467;10.28
37110.133;10.281
37111.533;10.283
37112.867;10.284
37113.933;10.285
37115.4;10.286
37117.333;10.288
37117.4;10.289
37118.067;10.29
37119.333;10.291
37121.667;10.293
37122;10.294
37122.8;10.295
37123.6;10.296
37124.2;10.298
37125.333;10.299
37126.4;10.3
37126.667;10.301
37127.867;10.303
37129.333;10.304
37130.533;10.305
37131;10.306
37132.4;10.308
37133.4;10.309
37135.067;10.31
37135.733;10.311
37136.733;10.312
37139.267;10.314
37140.933;10.315
37141.133;10.316
37141.733;10.317
37143.333;10.319
37145.067;10.32
37146.133;10.321
37146.733;10.322
37149.333;10.324
37150.867;10.325
37153.133;10.326
37155.4;10.327
37157.533;10.329
37158.867;10.33
37161;10.331
37164.067;10.332
37165.467;10.334
37165.867;10.335
37168.733;10.336
37170.2;10.337
37172.333;10.339
37173.733;10.34
37176.067;10.341
37178.533;10.342
37179.133;10.344
37181.333;10.345
37182.867;10.346
37184.4;10.348
37184.733;10.349
37186.133;10.35
37187.933;10.351
37189;10.353
37190.333;10.354
37192.467;10.355
37193.8;10.356
37194.533;10.358
37196.8;10.359
37198.533;10.36
37198.333;10.361
37199.8;10.363
37200.6;10.364
37202.067;10.365
37203.533;10.366
37204.267;10.368
37205.6;10.369
37207.467;10.37
37208.067;10.371
37210;10.373
37210.8;10.374
37210.867;10.375
37211.8;10.376
37214.467;10.377
37215.667;10.379
37216.067;10.38
37218.067;10.381
37219.867;10.382
37222;10.384
37223.333;10.385
37225.333;10.386
37226.867;10.387
37228.8;10.389
37230.867;10.39
37232.333;10.391
37233.2;10.393
37234.733;10.394
37237.6;10.395
37237.933;10.396
37239.267;10.397
37241.467;10.399
37243.4;10.4
37244.6;10.401
37246;10.402
37248.533;10.404
37250.533;10.405
37252.333;10.406
37253.533;10.408
37254.8;10.409
37257.133;10.41
37259;10.411
37261.067;10.412
37262.733;10.414
37264.133;10.415
37265.8;10.416
37267.867;10.418
37269.133;10.419
37270.4;10.42
37271.533;10.421
37272.533;10.423
37274.467;10.424
37276.533;10.425
37277.4;10.426
37279.2;10.428
37280.533;10.429
37281.467;10.43
37283.2;10.431
37284.133;10.432
37285.533;10.434
37285.8;10.435
37286.867;10.436
37287.6;10.438
37288.667;10.439
37289.733;10.44
37290.533;10.441
37292.2;10.443
37294.933;10.444
37295.133;10.445
37295.2;10.446
37296.6;10.448
37298.733;10.449
37300.133;10.45
37300.467;10.451
37300.467;10.453
37300.933;10.454
37302.733;10.455
37304.067;10.456
37305.267;10.457
37306.333;10.459
37307.667;10.46
37308.867;10.461
37309.133;10.463
37310.467;10.464
37312.4;10.465
37313.933;10.466
37315.067;10.467
37316.067;10.469
37318.667;10.47
37319.667;10.471
37321;10.473
37322.933;10.474
37324;10.475
37326.067;10.476
37328.2;10.477
37328.4;10.479
37329.6;10.48
37331.533;10.481
37333.2;10.483
37333.867;10.484
37335.867;10.485
37338.333;10.486
37341.333;10.488
37343.8;10.489
37345.267;10.49
37345.4;10.491
37347.667;10.493
37348.733;10.494
37349.667;10.495
37350.267;10.496
37352.333;10.498
37353.6;10.499
37354.267;10.5
37355.133;10.501
37357;10.502
37358.533;10.504
37359.867;10.505
37360.467;10.506
37362.133;10.508
37363.533;10.509
37365.067;10.51
37367.6;10.511
37369.667;10.513
37370.8;10.514
37371.867;10.515
37373.133;10.516
37375.467;10.518
37376.6;10.519
37379.467;10.52
37379.467;10.521
37380.6;10.523
37381.8;10.524
37384.667;10.525
37385.333;10.526
37385.6;10.528
37387.6;10.529
37390.533;10.53
37391;10.531
37391.133;10.533
37393.067;10.534
37395.133;10.535
37396.6;10.536
37397.067;10.537
37399.133;10.539
37401.533;10.54
37402.933;10.541
37405.333;10.543
37406.2;10.544
37407.067;10.545
37407.4;10.546
37408.6;10.547
37409.6;10.549
37412;10.55
37413.933;10.551
37414.8;10.552
37414.733;10.554
37416.867;10.555
37418.667;10.556
37420.733;10.557
37421.867;10.559
37423;10.56
37426.067;10.561
37427.533;10.563
37429.8;10.564
37431;10.565
37432.4;10.566
37434.467;10.568
37435.867;10.569
37438.267;10.57
37440.133;10.571
37441.467;10.573
37442.267;10.574
37443;10.575
37443.733;10.576
37445.067;10.578
37446.133;10.579
37449;10.58
37450.533;10.581
37451.8;10.583
37453.4;10.584
37455.667;10.585
37456.733;10.586
37458.467;10.588
37459.467;10.589
37460.267;10.59
37461.333;10.591
37463.067;10.593
37464.333;10.594
37465.333;10.595
37466.333;10.596
37467.6;10.598
37468.4;10.599
37469.333;10.6
37469.733;10.601
37471.333;10.603
37472.4;10.604
37473.4;10.605
37474.6;10.606
37475.133;10.608
37476.267;10.609
37478;10.61
37480.4;10.611
37482.2;10.613
37482.933;10.614
37484.133;10.615
37485.533;10.616
37487.133;10.617
37488.867;10.619
37488.667;10.62
37490.133;10.621
37492.2;10.622
37494.467;10.624
37495;10.625
37496.467;10.626
37498.667;10.627
37499.267;10.629
37501.467;10.63
37504.2;10.631
37505.667;10.633
37507.733;10.634
37509.533;10.635
37511.667;10.636
37513.467;10.638
37515.4;10.639
37516.933;10.64
37518.733;10.641
37521.133;10.643
37522.867;10.644
37523.4;10.645
37523.333;10.646
37524.933;10.648
37525.733;10.649
37527.133;10.65
37528.267;10.651
37528.333;10.653
37529.867;10.654
37532.133;10.655
37533;10.656
37534.2;10.658
37535.8;10.659
37537.267;10.66
37538.733;10.661
37540.933;10.663
37541.667;10.664
37542.6;10.665
37542.333;10.666
37544.067;10.668
37544.933;10.669
37545.4;10.67
37545.867;10.671
37547.067;10.672
37548.133;10.674
37549.533;10.675
37549.733;10.676
37550.4;10.678
37552.733;10.679
37554.733;10.68
37555.467;10.681
37556;10.682
37558.133;10.684
37559.533;10.685
37560.667;10.686
37561.8;10.688
37562.333;10.689
37565;10.69
37565.8;10.691
37567.933;10.693
37569.533;10.694
37571.2;10.695
37571.133;10.696
37573;10.697
37574.867;10.699
37575.733;10.7
37576.867;10.701
37578.8;10.703
37581.733;10.704
37582.533;10.705
37584.267;10.706
37584.8;10.708
37587.333;10.709
37589.467;10.71
37591.467;10.711
37591.6;10.713
37593;10.714
37595.133;10.715
37597.133;10.716
37597.8;10.718
37599.867;10.719
37603.733;10.72
37605.2;10.721
37606.467;10.723
37607.267;10.724
37608.867;10.725
37610.933;10.726
37612.267;10.728
37612.667;10.729
37613.667;10.73
37616.067;10.731
37617.333;10.733
37618.267;10.734
37619.667;10.735
37621.6;10.736
37623.733;10.738
37623.267;10.739
37624.333;10.74
37625.933;10.741
37628.067;10.743
37628.133;10.744
37629.267;10.745
37631.067;10.746
37632;10.748
37633.333;10.749
37634.933;10.75
37636.267;10.751
37637.867;10.752
37638.667;10.754
37638.4;10.755
37638.867;10.756
37640.533;10.758
37642.067;10.759
37644.067;10.76
37644.4;10.761
37644.8;10.762
37646.933;10.764
37649.933;10.765
37651.2;10.766
37652.267;10.767
37653.467;10.769
37653.933;10.77
37655.867;10.771
37657.067;10.772
37659.267;10.774
37660.533;10.775
37662.133;10.776
37664.067;10.777
37666.467;10.779
37666.933;10.78
37668.067;10.781
37669.4;10.783
37669.867;10.784
37672.333;10.785
37673.733;10.786
37674.133;10.788
37675.8;10.789
37677.333;10.79
37678.733;10.791
37681.2;10.793
37681.933;10.794
37682.733;10.795
37684.733;10.796
37686.733;10.798
37687.133;10.799
37687.933;10.8
37688.467;10.801
37689.8;10.803
37691.2;10.804
37692.6;10.805
37693.467;10.806
37694.8;10.807
37695.867;10.809
37696.6;10.81
37697.333;10.811
37697.4;10.813
37699.6;10.814
37700.733;10.815
37702.333;10.816
37702.8;10.818
37704.733;10.819
37705.533;10.82
37706.6;10.821
37709.4;10.822
37711.067;10.824
37711.533;10.825
37712.133;10.826
37713.733;10.827
37716.333;10.829
37716.4;10.83
37717.667;10.831
37718.467;10.832
37719.733;10.834
37721.667;10.835
37723.8;10.836
37725.333;10.837
37726.133;10.839
37727.933;10.84
37728.6;10.841
37730.733;10.842
37731.667;10.844
37732.933;10.845
37734.533;10.846
37735.4;10.848
37738;10.849
37740.467;10.85
37741.4;10.851
37743.2;10.853
37745.533;10.854
37747.467;10.855
37748.333;10.856
37748.267;10.858
37749.667;10.859
37751.467;10.86
37753.4;10.861
37753.6;10.863
37754.6;10.864
37756.533;10.865
37757.467;10.866
37759.6;10.867
37760.933;10.869
37761.133;10.87
37763.467;10.871
37764.267;10.873
37767.2;10.874
37769.533;10.875
37769.867;10.876
37771;10.877
37771.8;10.879
37773.467;10.88
37774.667;10.881
37776;10.883
37776.067;10.884
37776.867;10.885
37778.067;10.886
37778.8;10.888
37779.4;10.889
37781.467;10.89
37782.267;10.891
37783;10.893
37785;10.894
37786.933;10.895
37788.267;10.896
37789.667;10.897
37791.6;10.899
37792.733;10.9
37793.267;10.901
37794.8;10.902
37797.333;10.904
37797.933;10.905
37798.6;10.906
37799.133;10.908
37799.133;10.909
37802.133;10.91
37804.533;10.911
37805.867;10.912
37806.333;10.914
37807.533;10.915
37809.333;10.916
37810.867;10.917
37811.667;10.919
37814.2;10.92
37815.467;10.921
37817.667;10.922
37818.667;10.924
37820.6;10.925
37822.6;10.926
37824.667;10.928
37826.333;10.929
37826.667;10.93
37827.6;10.931
37829.933;10.933
37830.733;10.934
37832.733;10.935
37834.467;10.936
37836;10.938
37835.867;10.939
37837.267;10.94
37838.2;10.941
37839.533;10.943
37840.867;10.944
37840.667;10.945
37842.467;10.946
37844.6;10.948
37845.8;10.949
37847;10.95
37848.133;10.951
37849.467;10.953
37850.933;10.954
37852.067;10.955
37852.6;10.956
37853.067;10.958
37853.533;10.959
37855.067;10.96
37855.333;10.961
37856.533;10.963
37859.4;10.964
37860.2;10.965
37861.267;10.966
37862.067;10.967
37863.333;10.969
37864.6;10.97
37866.8;10.971
37869.267;10.973
37870.933;10.974
37872.6;10.975
37873.2;10.976
37875.267;10.977
37877.2;10.979
37879.2;10.98
37879.6;10.981
37880.467;10.982
37882.333;10.984
37883.933;10.985
37885.133;10.986
37886.733;10.987
37887.2;10.989
37889.333;10.99
37891.933;10.991
37893.467;10.992
37895.4;10.994
37896.467;10.995
37899.133;10.996
37898.867;10.997
37899.933;10.999
37900.6;11
37902.333;11.001
37903.2;11.002
37904.267;11.004
37905.067;11.005
37906;11.006
37906;11.008
37907.933;11.009
37910.333;11.01
37912.2;11.011
37912.533;11.013
37913.733;11.014
37914.467;11.015
37915.333;11.016
37915.867;11.018
37917.067;11.019
37918.933;11.02
37920.267;11.021
37921.2;11.023
37923;11.024
37923.2;11.025
37924.067;11.026
37925;11.027
37926.6;11.029
37927.333;11.03
37928.6;11.031
37930.467;11.033
37932.8;11.034
37933.6;11.035
37935.6;11.036
37936.4;11.037
37937.6;11.039
37939.6;11.04
37941.4;11.041
37941.667;11.042
37941.333;11.044
37942.4;11.045
37944.133;11.046
37944.8;11.047
37946.933;11.049
37949.133;11.05
37950.267;11.051
37952.467;11.052
37953.8;11.054
37954.267;11.055
37955.667;11.056
37957;11.057
37959.733;11.059
37961.133;11.06
37962.8;11.061
37963.8;11.063
37965.2;11.064
37966.333;11.065
37967.133;11.066
37968.067;11.068
37968.933;11.069
37970.867;11.07
37972.533;11.071
37972.6;11.072
37974.867;11.074
37976;11.075
37976.933;11.076
37980.267;11.078
37982;11.079
37983.533;11.08
37985.067;11.081
37987.067;11.083
37987.133;11.084
37988.4;11.085
37989.067;11.086
37989.533;11.088
37991.067;11.089
37991.6;11.09
37992.467;11.091
37994.2;11.092
37994.867;11.094
37995.333;11.095
37996.733;11.096
37998.333;11.098
37999.533;11.099
38001.067;11.1
38003.2;11.101
38004.867;11.102
38005.333;11.104
38007.933;11.105
38008.333;11.106
38008.933;11.108
38009.8;11.109
38010;11.11
38010.867;11.111
38012.933;11.113
38014.333;11.114
38015;11.115
38017.733;11.116
38019;11.117
38020.933;11.119
38021.467;11.12
38023.533;11.121
38025.333;11.123
38027;11.124
38027.933;11.125
38028.067;11.126
38030.667;11.128
38033.2;11.129
38034.4;11.13
38034.467;11.131
38036.133;11.133
38037.933;11.134
38038.467;11.135
38039.133;11.136
38040.733;11.137
38042.267;11.139
38044;11.14
38045.467;11.141
38047.6;11.143
38049;11.144
38050.533;11.145
38052.6;11.146
38053.467;11.148
38053.8;11.149
38055.933;11.15
38057.267;11.151
38058.067;11.153
38058.6;11.154
38059.867;11.155
38061.133;11.156
38062.6;11.158
38064.2;11.159
38066.133;11.16
38067.067;11.161
38067.533;11.163
38069.133;11.164
38070.467;11.165
38072.4;11.166
38073.933;11.168
38075.067;11.169
38076.067;11.17
38077.867;11.171
38079.133;11.173
38080.6;11.174
38082.733;11.175
38084.8;11.176
38085.067;11.178
38086.8;11.179
38087.2;11.18
38088.467;11.181
38088.6;11.182
38090.2;11.184
38091;11.185
38092.867;11.186
38093.933;11.188
38094.333;11.189
38096;11.19
38097.133;11.191
38097.667;11.193
38098.4;11.194
38099.733;11.195
38101.867;11.196
38102.733;11.197
38104.467;11.199
38105.467;11.2
38107.667;11.201
38108.267;11.202
38109.6;11.204
38109.933;11.205
38111.667;11.206
38112;11.207
38113.133;11.209
38114.067;11.21
38115.267;11.211
38115.733;11.213
38116.933;11.214
38118.8;11.215
38121.467;11.216
38123.533;11.217
38124.667;11.219
38126;11.22
38127.733;11.221
38130.067;11.222
38132.4;11.224
38132.733;11.225
38133.733;11.226
38135.8;11.227
38137.133;11.229
38138.133;11.23
38138.533;11.231
38140.067;11.232
38141.467;11.234
38142.133;11.235
38143.533;11.236
38144.067;11.238
38145.533;11.239
38146.6;11.24
38148.267;11.241
38148.4;11.242
38151;11.244
38151.667;11.245
38153;11.246
38155.2;11.248
38155.733;11.249
38155;11.25
38155.4;11.251
38156.333;11.252
38156.667;11.254
38158.067;11.255
38159.133;11.256
38159.333;11.258
38161.133;11.259
38162.2;11.26
38163.533;11.261
38163.667;11.263
38164.667;11.264
38166.133;11.265
38166.667;11.266
38167.6;11.268
38169.067;11.269
38170.2;11.27
38171.267;11.271
38172.267;11.273
38173.2;11.274
38175.2;11.275
38176.333;11.276
38177.867;11.277
38177.867;11.279
38180;11.28
38180.733;11.281
38181.4;11.283
38183.2;11.284
38185.8;11.285
38186.8;11.286
38188.333;11.287
38188.933;11.289
38190.867;11.29
38191.533;11.291
38192.467;11.293
38193.533;11.294
38195.667;11.295
38196.4;11.296
38198.467;11.298
38200.6;11.299
38202.267;11.3
38205;11.301
38206.333;11.303
38207.2;11.304
38208.6;11.305
38210.667;11.306
38213.267;11.308
38213.933;11.309
38214.667;11.31
38215.533;11.311
38218.133;11.313
38219.2;11.314
38221.133;11.315
38223.267;11.316
38223.867;11.318
38224.4;11.319
38225.8;11.32
38228.2;11.321
38230.2;11.323
38232.133;11.324
38233.533;11.325
38233.867;11.326
38234.4;11.328
38234.733;11.329
38236.667;11.33
38236.667;11.331
38237;11.332
38237.667;11.334
38238.333;11.335
38239.2;11.336
38240;11.337
38241.733;11.339
38242.333;11.34
38242.2;11.341
38243.6;11.342
38246.333;11.344
38246.533;11.345
38246.667;11.346
38248.333;11.348
38250;11.349
38251.4;11.35
38252.933;11.351
38253.8;11.352
38255;11.354
38255.267;11.355
38255.133;11.356
38255.533;11.357
38256.733;11.359
38258.8;11.36
38260.8;11.361
38260.533;11.362
38260.867;11.364
38263.133;11.365
38265.933;11.366
38266.733;11.367
38267.133;11.369
38269.267;11.37
38271.133;11.371
38272.733;11.372
38274.4;11.374
38275.933;11.375
38276.867;11.376
38277.533;11.378
38278.533;11.379
38279.333;11.38
38281.8;11.381
38282.933;11.383
38282.2;11.384
38283.333;11.385
38285.267;11.386
38287;11.387
38288.933;11.389
38290.867;11.39
38293.2;11.391
38294.467;11.393
38294.667;11.394
38295.667;11.395
38298.933;11.396
38299.867;11.398
38300.667;11.399
38300.467;11.4
38301.6;11.401
38302.933;11.402
38305.133;11.404
38305.533;11.405
38305.467;11.406
38307.133;11.407
38308.067;11.409
38307.8;11.41
38309.467;11.411
38310;11.412
38311.533;11.414
38312.333;11.415
38313.2;11.416
38314.467;11.418
38315.867;11.419
38317.467;11.42
38318.667;11.421
38320;11.422
38319.933;11.424
38320.267;11.425
38321.2;11.426
38322.8;11.427
38323.667;11.429
38324.6;11.43
38326.133;11.431
38328.267;11.432
38329.133;11.434
38329.733;11.435
38331.4;11.436
38332.733;11.438
38333.867;11.439
38334.933;11.44
38335.467;11.441
38336.4;11.443
38338.6;11.444
38340.6;11.445
38342.067;11.446
38344.067;11.447
38345.733;11.449
38347.133;11.45
38348.267;11.451
38349.667;11.453
38350.533;11.454
38351.2;11.455
38351.467;11.456
38353;11.458
38355.333;11.459
38357.267;11.46
38358.733;11.461
38359.4;11.463
38361.067;11.464
38361.867;11.465
38363.333;11.466
38364.733;11.467
38365.733;11.469
38366.467;11.47
38367.133;11.471
38368.8;11.473
38369.4;11.474
38370.933;11.475
38372.333;11.476
38372.933;11.477
38374.867;11.479
38375.933;11.48
38377.4;11.481
38376.867;11.482
38377.6;11.484
38378.2;11.485
38379.2;11.486
38380.067;11.487
38382.667;11.489
38384.267;11.49
38384.667;11.491
38384.867;11.492
38386.8;11.494
38388;11.495
38390.2;11.496
38391.2;11.498
38393.2;11.499
38395.333;11.5
38394.933;11.501
38395.8;11.502
38397.8;11.504
38400.067;11.505
38399.933;11.506
38400.4;11.507
38401.333;11.509
38403.467;11.51
38405.2;11.511
38406.067;11.512
38406.333;11.514
38408.267;11.515
38410.467;11.516
38411.333;11.518
38412;11.519
38412.333;11.52
38414.4;11.521
38413.933;11.522
38415.2;11.524
38416.067;11.525
38418.533;11.526
38420.2;11.527
38420.8;11.529
38421.467;11.53
38422.667;11.531
38423.733;11.532
38424.267;11.534
38425.6;11.535
38428.867;11.536
38429.867;11.538
38429.6;11.539
38431.333;11.54
38432.2;11.541
38433.933;11.543
38434.267;11.544
38434.467;11.545
38435.867;11.546
38437.067;11.547
38437.867;11.549
38438.933;11.55
38439.867;11.551
38441.667;11.552
38443.4;11.554
38444;11.555
38445.133;11.556
38446.4;11.557
38447.733;11.559
38448;11.56
38450.6;11.561
38452.667;11.563
38452.667;11.564
38452.6;11.565
38454.8;11.566
38455.667;11.568
38455.867;11.569
38456.467;11.57
38458.2;11.571
38458.8;11.572
38459.733;11.574
38461;11.575
38462.533;11.576
38465.133;11.577
38465.533;11.579
38465.933;11.58
38467.933;11.581
38468.2;11.582
38468.8;11.584
38470.667;11.585
38472;11.586
38473.933;11.588
38474.733;11.589
38476.4;11.59
38478.2;11.591
38478.867;11.592
38480;11.594
38480;11.595
38480.2;11.596
38481.8;11.597
38483.8;11.599
38485;11.6
38485.133;11.601
38486.8;11.602
38487.667;11.604
38489.133;11.605
38491.2;11.606
38492.733;11.607
38493.933;11.609
38494.8;11.61
38496.733;11.611
38498.067;11.613
38498.333;11.614
38499.333;11.615
38500.067;11.616
38502.333;11.617
38504.133;11.619
38504;11.62
38504.4;11.621
38505.733;11.622
38507.267;11.624
38507.067;11.625
38507.867;11.626
38510.2;11.627
38511.067;11.629
38512.533;11.63
38514.333;11.631
38515.133;11.632
38515.267;11.634
38517.733;11.635
38519.4;11.636
38521.8;11.637
38522.8;11.639
38524.133;11.64
38525.2;11.641
38526.267;11.642
38528.6;11.644
38528.8;11.645
38529.6;11.646
38531.6;11.647
38534.4;11.649
38535.733;11.65
38537.133;11.651
38537.8;11.652
38538.333;11.654
38541;11.655
38542.2;11.656
38543.267;11.657
38545.4;11.659
38548.2;11.66
38550.733;11.661
38550.2;11.662
38551.867;11.664
38553;11.665
38553.067;11.666
38554.867;11.667
38556;11.669
38556.267;11.67
38557.2;11.671
38557.267;11.672
38557.667;11.674
38558.733;11.675
38560.2;11.676
38560.267;11.677
38561.4;11.679
38563.267;11.68
38562.267;11.681
38562.267;11.682
38562.533;11.684
38563.667;11.685
38564.867;11.686
38565.4;11.688
38565.267;11.689
38566.133;11.69
38567.4;11.691
38567.067;11.692
38566.533;11.694
38567.533;11.695
38569.6;11.696
38569.533;11.697
38570.667;11.699
38571.667;11.7
38573.667;11.701
38574.667;11.702
38574.8;11.704
38575.467;11.705
38576.867;11.706
38578.467;11.707
38578.933;11.709
38580.2;11.71
38581.333;11.711
38581.667;11.712
38582.8;11.714
38585.4;11.715
38587.4;11.716
38588.933;11.717
38590.2;11.719
38591.333;11.72
38593.533;11.721
38594.933;11.722
38596;11.724
38596.533;11.725
38598.8;11.726
38600.267;11.727
38602.333;11.729
38603.467;11.73
38605.867;11.731
38606.867;11.732
38607.6;11.734
38608.867;11.735
38610.8;11.736
38613.2;11.738
38614.333;11.739
38615.533;11.74
38616.933;11.741
38617.4;11.743
38618.067;11.744
38618.867;11.745
38621.067;11.746
38621.933;11.748
38623.467;11.749
38623.6;11.75
38624.333;11.751
38625.733;11.752
38627.4;11.754
38627.933;11.755
38628.933;11.756
38630.4;11.758
38632.067;11.759
38633.333;11.76
38633.8;11.761
38634.467;11.762
38635.467;11.764
38636.467;11.765
38636.867;11.766
38638.867;11.767
38639.467;11.769
38639.867;11.77
38639.733;11.771
38640.667;11.772
38642.533;11.774
38643.933;11.775
38644.867;11.776
38646.4;11.777
38648.133;11.779
38648.667;11.78
38649.533;11.781
38651.267;11.782
38652.667;11.784
38653.733;11.785
38656;11.786
38656.8;11.787
38658.533;11.789
38660;11.79
38660.8;11.791
38662.6;11.792
38664.6;11.794
38664.933;11.795
38665.867;11.796
38667.4;11.797
38668.933;11.799
38669.733;11.8
38669.867;11.801
38671.133;11.803
38673.8;11.804
38675.133;11.805
38676.467;11.806
38676.667;11.807
38677.667;11.809
38678.267;11.81
38679.533;11.811
38680.4;11.813
38682.6;11.814
38683.2;11.815
38683.267;11.816
38683.2;11.817
38685.267;11.819
38685.4;11.82
38685.933;11.821
38687.2;11.823
38687.4;11.824
38690;11.825
38689.867;11.826
38689.333;11.827
38691.133;11.829
38692.067;11.83
38692.867;11.831
38693.2;11.833
38694.667;11.834
38695.8;11.835
38697.267;11.836
38697.6;11.838
38698.2;11.839
38699.067;11.84
38701.533;11.841
38702.933;11.842
38703.733;11.844
38705.2;11.845
38706.2;11.846
38705.867;11.847
38706.867;11.849
38707.867;11.85
38708;11.851
38709.867;11.852
38711.467;11.854
38713.267;11.855
38714.867;11.856
38715.2;11.857
38716.667;11.859
38717.133;11.86
38719.867;11.861
38720.8;11.863
38722.267;11.864
38722.733;11.865
38724.2;11.866
38725.6;11.867
38726.467;11.869
38728.8;11.87
38730.733;11.871
38731.133;11.872
38732.8;11.874
38734.667;11.875
38736;11.876
38736.933;11.877
38738.067;11.879
38740;11.88
38741.533;11.881
38744.067;11.883
38745.8;11.884
38747.533;11.885
38749.867;11.886
38750.6;11.888
38752.467;11.889
38753.533;11.89
38754.067;11.891
38755.4;11.893
38757.6;11.894
38758.867;11.895
38759.133;11.896
38760.733;11.897
38760.8;11.899
38760.267;11.9
38761;11.901
38763.133;11.902
38764.333;11.904
38764.2;11.905
38765.6;11.906
38766.6;11.908
38766.133;11.909
38767.467;11.91
38769.267;11.911
38770.267;11.912
38770.467;11.914
38771.267;11.915
38770.867;11.916
38772.067;11.917
38773.667;11.919
38775.8;11.92
38776.6;11.921
38775.733;11.922
38776.333;11.924
38777.6;11.925
38778.067;11.926
