Kracht (N);Uitrekking (mm)
2860.467;0.694
2862.8;0.695
2864.2;0.696
2866.533;0.698
2869.267;0.699
2870.267;0.7
2872;0.701
2873.8;0.702
2877.067;0.704
2879.733;0.705
2881.533;0.706
2883.333;0.707
2885.8;0.708
2888.467;0.71
2890.333;0.711
2892.067;0.712
2894.2;0.713
2896.4;0.714
2898.6;0.716
2900.533;0.717
2902.467;0.718
2904.467;0.719
2906.067;0.72
2907.933;0.722
2910;0.723
2912.2;0.724
2913.867;0.725
2916.267;0.726
2918.533;0.728
2920.133;0.729
2922.667;0.73
2925.867;0.731
2928;0.733
2929.267;0.734
2932.933;0.735
2934.933;0.736
2936.533;0.737
2938.4;0.739
2940.267;0.74
2943.933;0.741
2946.267;0.742
2948.533;0.743
2950.333;0.745
2951.6;0.746
2954.933;0.747
2957.667;0.748
2959;0.749
2960.867;0.751
2963.533;0.752
2966.2;0.753
2967.2;0.754
2969.733;0.755
2972.6;0.757
2974.8;0.758
2976.4;0.759
2978.8;0.76
2981.733;0.761
2984.133;0.763
2986;0.764
2987.933;0.765
2989.2;0.766
2992.2;0.767
2993.2;0.769
2994.467;0.77
2996.333;0.771
2998.933;0.772
3000.6;0.774
3001.533;0.775
3003.467;0.776
3006.467;0.777
3008.267;0.778
3010.067;0.78
3011.867;0.781
3013.333;0.782
3015;0.783
3017.867;0.784
3019.933;0.786
3022.067;0.787
3024.2;0.788
3025.467;0.789
3027.2;0.79
3028.467;0.792
3031.4;0.793
3033.333;0.794
3035;0.795
3036.4;0.797
3038.533;0.798
3040.4;0.799
3042.733;0.8
3044.067;0.801
3046.667;0.803
3049.067;0.804
3050.8;0.805
3052.067;0.806
3055.333;0.807
3057.933;0.809
3058.933;0.81
3059.267;0.811
3061.067;0.812
3062.6;0.814
3063.667;0.815
3065.933;0.816
3066.867;0.817
3067.333;0.818
3068.4;0.82
3068.6;0.821
3069.6;0.822
3070.533;0.823
3070.733;0.824
3071.533;0.826
3071.867;0.827
3071.533;0.828
3070.333;0.829
3070.067;0.831
3069.867;0.832
3068.667;0.833
3066.6;0.834
3065.6;0.835
3064.6;0.837
3063.467;0.838
3062.067;0.839
3059.8;0.84
3058.333;0.842
3056.8;0.843
3054.267;0.844
3052.267;0.845
3051.133;0.846
3049.2;0.848
3046.067;0.849
3043.667;0.85
3042.6;0.851
3040.8;0.852
3038.6;0.854
3037;0.855
3035.267;0.856
3033.333;0.857
3031.667;0.858
3030.133;0.86
3029.067;0.861
3027.067;0.862
3025.467;0.863
3024.333;0.865
3023.067;0.866
3022.2;0.867
3020.067;0.868
3019.467;0.869
3018.267;0.871
3017.467;0.872
3017.2;0.873
3016.267;0.874
3014.733;0.875
3014;0.877
3013.667;0.878
3013;0.879
3013.8;0.88
3013.267;0.882
3013.267;0.883
3012.867;0.884
3013.8;0.885
3014.133;0.886
3015.133;0.888
3016.133;0.889
3016.933;0.89
3017.933;0.891
3020.267;0.893
3021.733;0.894
3023;0.895
3023.6;0.896
3025.133;0.897
3025.867;0.899
3026.867;0.9
3028.6;0.901
3029.333;0.902
3031.267;0.903
3032.6;0.905
3034.667;0.906
3036.267;0.907
3037.867;0.908
3041.067;0.91
3041.933;0.911
3043.533;0.912
3046.533;0.913
3047.8;0.914
3049.267;0.916
3050.267;0.917
3052.467;0.918
3053.933;0.919
3055.467;0.921
3057.067;0.922
3058.267;0.923
3058.867;0.924
3059.867;0.925
3062.667;0.927
3064.333;0.928
3065.867;0.929
3068;0.93
3070.8;0.932
3071.467;0.933
3073.133;0.934
3075.8;0.935
3077.333;0.936
3078.467;0.938
3080.133;0.939
3082.133;0.94
3082.6;0.941
3083.933;0.943
3085.533;0.944
3087.333;0.945
3089.133;0.946
3090.467;0.947
3091.933;0.949
3093.2;0.95
3095.667;0.951
3098.133;0.952
3099.267;0.954
3100.733;0.955
3102.467;0.956
3105.6;0.957
3108.667;0.958
3109.933;0.96
3111.933;0.961
3114.333;0.962
3116;0.963
3117.067;0.965
3118.533;0.966
3121.467;0.967
3123.933;0.968
3124.733;0.969
3125.667;0.971
3127.2;0.972
3129.933;0.973
